police1_signer1_rep1_sentences/sentences0012|το γραφείο είναι ανοιχτό πρωί και μεσημέρι|ΓΡΑΦΕΙΟ ΑΝΟΙΧΤΟ ΠΡΩΙ ΣΥΝ ΜΕΣΗΜΕΡΙ
police1_signer1_rep1_sentences/sentences0013|ευχαριστώ|ΕΥΧΑΡΙΣΤΩ
police1_signer1_rep1_sentences/sentences0014|καλό απόγευμα|ΚΑΛΟ ΑΠΟΓΕΥΜΑ
police1_signer1_rep2_sentences/sentences0000|γεια σας πώς μπορώ να βοηθήσω|ΓΕΙΑ ΕΓΩ(1) ΜΠΟΡΩ ΒΟΗΘΩ
police1_signer1_rep2_sentences/sentences0001|θέλω να κάνω καταγγελία|ΕΓΩ(1) ΘΕΛΩ ΠΑΡΑΠΟΝΟ ΚΑΤΑΓΓΕΛΙΑ
police1_signer1_rep2_sentences/sentences0002|ποιο είναι το πρόβλημα|ΠΡΟΒΛΗΜΑ ΤΙ
police1_signer1_rep2_sentences/sentences0003|διατάραξη κοινής ησυχίας|ΩΡΑ ΓΙΑ ΗΣΥΧΙΑ ΑΚΟΥΩ ΦΑΣΑΡΙΑ
police1_signer1_rep2_sentences/sentences0004|ποιος σας ενοχλεί|ΠΟΙΟΣ ΕΝΟΧΛΩ_ΕΣΕΝΑ
police1_signer1_rep2_sentences/sentences0005|το μαγαζί κάτω από το σπίτι μου|ΣΠΙΤΙ ΕΓΩ(1) ΚΑΤΩ(1) ΜΑΓΑΖΙ
police1_signer1_rep2_sentences/sentences0006|μιλήσατε με τον ιδιοκτήτη|ΠΡΙΝ ΕΣΥ ΙΔΙΟΚΤΗΤΗΣ ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1_signer1_rep2_sentences/sentences0007|ναι μίλησα|ΝΑΙ ΠΡΙΝ ΕΓΩ(1) ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1_signer1_rep2_sentences/sentences0008|καλέσατε την αστυνομία|ΠΡΙΝ ΕΣΥ ΑΣΤΥΝΟΜΙΑ ΤΗΛΕΦΩΝΩ
police1_signer1_rep2_sentences/sentences0009|δεν έγινε τίποτα|ΑΠΟΤΕΛΕΣΜΑ ΤΙΠΟΤΑ
police1_signer1_rep2_sentences/sentences0010|θα πάτε στον εισαγγελέα στα δικαστήρια στο γραφείο 405|ΕΣΥ ΠΗΓΑΙΝΩ ΔΙΚΑΣΤΗΡΙΟ ΕΙΣΑΓΓΕΛΕΑΣ ΠΟΥ ΔΙΚΑΣΤΗΡΙΟ ΕΚΕΙ ΓΡΑΦΕΙΟ 400 5
police1_signer1_rep2_sentences/sentences0011|εντάξει|ΕΝΤΑΞΕΙ
police1_signer1_rep2_sentences/sentences0012|το γραφείο είναι ανοιχτό πρωί και μεσημέρι|ΓΡΑΦΕΙΟ ΑΝΟΙΧΤΟ ΠΡΩΙ ΣΥΝ ΜΕΣΗΜΕΡΙ
police1_signer1_rep2_sentences/sentences0013|ευχαριστώ|ΕΥΧΑΡΙΣΤΩ
police1_signer1_rep2_sentences/sentences0014|καλό απόγευμα|ΚΑΛΟ ΑΠΟΓΕΥΜΑ
police1_signer1_rep3_sentences/sentences0000|γεια σας πώς μπορώ να βοηθήσω|ΓΕΙΑ ΕΓΩ(1) ΜΠΟΡΩ ΒΟΗΘΩ
police1_signer1_rep3_sentences/sentences0001|θέλω να κάνω καταγγελία|ΕΓΩ(1) ΘΕΛΩ ΠΑΡΑΠΟΝΟ ΚΑΤΑΓΓΕΛΙΑ
police1_signer1_rep3_sentences/sentences0002|ποιο είναι το πρόβλημα|ΠΡΟΒΛΗΜΑ ΤΙ
police1_signer1_rep3_sentences/sentences0003|διατάραξη κοινής ησυχίας|ΩΡΑ ΓΙΑ ΗΣΥΧΙΑ ΑΚΟΥΩ ΦΑΣΑΡΙΑ
police1_signer1_rep3_sentences/sentences0004|ποιος σας ενοχλεί|ΠΟΙΟΣ ΕΝΟΧΛΩ_ΕΣΕΝΑ
police1_signer1_rep3_sentences/sentences0005|το μαγαζί κάτω από το σπίτι μου|ΣΠΙΤΙ ΕΓΩ(1) ΚΑΤΩ(1) ΜΑΓΑΖΙ
police1_signer1_rep3_sentences/sentences0006|μιλήσατε με τον ιδιοκτήτη|ΠΡΙΝ ΕΣΥ ΙΔΙΟΚΤΗΤΗΣ ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1_signer1_rep3_sentences/sentences0007|ναι μίλησα|ΝΑΙ ΠΡΙΝ ΕΓΩ(1) ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1_signer1_rep3_sentences/sentences0008|καλέσατε την αστυνομία|ΠΡΙΝ ΕΣΥ ΑΣΤΥΝΟΜΙΑ ΤΗΛΕΦΩΝΩ
police1_signer1_rep3_sentences/sentences0009|δεν έγινε τίποτα|ΑΠΟΤΕΛΕΣΜΑ ΤΙΠΟΤΑ
police1_signer1_rep3_sentences/sentences0010|θα πάτε στον εισαγγελέα στα δικαστήρια στο γραφείο 405|ΕΣΥ ΠΗΓΑΙΝΩ ΔΙΚΑΣΤΗΡΙΟ ΕΙΣΑΓΓΕΛΕΑΣ ΠΟΥ ΔΙΚΑΣΤΗΡΙΟ ΕΚΕΙ ΓΡΑΦΕΙΟ 400 5
police1_signer1_rep3_sentences/sentences0011|εντάξει|ΕΝΤΑΞΕΙ
police1_signer1_rep3_sentences/sentences0012|το γραφείο είναι ανοιχτό πρωί και μεσημέρι|ΓΡΑΦΕΙΟ ΑΝΟΙΧΤΟ ΠΡΩΙ ΣΥΝ ΜΕΣΗΜΕΡΙ
police1_signer1_rep3_sentences/sentences0013|ευχαριστώ|ΕΥΧΑΡΙΣΤΩ
police1_signer1_rep3_sentences/sentences0014|καλό απόγευμα|ΚΑΛΟ ΑΠΟΓΕΥΜΑ
police1_signer1_rep4_sentences/sentences0000|γεια σας πώς μπορώ να βοηθήσω|ΓΕΙΑ ΕΓΩ(1) ΜΠΟΡΩ ΒΟΗΘΩ
police1_signer1_rep4_sentences/sentences0001|θέλω να κάνω καταγγελία|ΕΓΩ(1) ΘΕΛΩ ΠΑΡΑΠΟΝΟ ΚΑΤΑΓΓΕΛΙΑ
police1_signer1_rep4_sentences/sentences0002|ποιο είναι το πρόβλημα|ΠΡΟΒΛΗΜΑ ΤΙ
police1_signer1_rep4_sentences/sentences0003|διατάραξη κοινής ησυχίας|ΩΡΑ ΓΙΑ ΗΣΥΧΙΑ ΑΚΟΥΩ ΦΑΣΑΡΙΑ
police1_signer1_rep4_sentences/sentences0004|ποιος σας ενοχλεί|ΠΟΙΟΣ ΕΝΟΧΛΩ_ΕΣΕΝΑ
police1_signer1_rep4_sentences/sentences0005|το μαγαζί κάτω από το σπίτι μου|ΣΠΙΤΙ ΕΓΩ(1) ΚΑΤΩ(1) ΜΑΓΑΖΙ
police1_signer1_rep4_sentences/sentences0006|μιλήσατε με τον ιδιοκτήτη|ΠΡΙΝ ΕΣΥ ΙΔΙΟΚΤΗΤΗΣ ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1_signer1_rep4_sentences/sentences0007|ναι μίλησα|ΝΑΙ ΠΡΙΝ ΕΓΩ(1) ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1_signer1_rep4_sentences/sentences0008|καλέσατε την αστυνομία|ΠΡΙΝ ΕΣΥ ΑΣΤΥΝΟΜΙΑ ΤΗΛΕΦΩΝΩ
police1_signer1_rep4_sentences/sentences0009|δεν έγινε τίποτα|ΑΠΟΤΕΛΕΣΜΑ ΤΙΠΟΤΑ
police1_signer1_rep4_sentences/sentences0010|θα πάτε στον εισαγγελέα στα δικαστήρια στο γραφείο 405|ΕΣΥ ΠΗΓΑΙΝΩ ΔΙΚΑΣΤΗΡΙΟ ΕΙΣΑΓΓΕΛΕΑΣ ΠΟΥ ΔΙΚΑΣΤΗΡΙΟ ΕΚΕΙ ΓΡΑΦΕΙΟ 400 5
police1_signer1_rep4_sentences/sentences0011|εντάξει|ΕΝΤΑΞΕΙ
police1_signer1_rep4_sentences/sentences0012|το γραφείο είναι ανοιχτό πρωί και μεσημέρι|ΓΡΑΦΕΙΟ ΑΝΟΙΧΤΟ ΠΡΩΙ ΣΥΝ ΜΕΣΗΜΕΡΙ
police1_signer1_rep4_sentences/sentences0013|ευχαριστώ|ΕΥΧΑΡΙΣΤΩ
police1_signer1_rep4_sentences/sentences0014|καλό απόγευμα|ΚΑΛΟ ΑΠΟΓΕΥΜΑ
police1_signer1_rep5_sentences/sentences0000|γεια σας πώς μπορώ να βοηθήσω|ΓΕΙΑ ΕΓΩ(1) ΜΠΟΡΩ ΒΟΗΘΩ
police1_signer1_rep5_sentences/sentences0001|θέλω να κάνω καταγγελία|ΕΓΩ(1) ΘΕΛΩ ΠΑΡΑΠΟΝΟ ΚΑΤΑΓΓΕΛΙΑ
police1_signer1_rep5_sentences/sentences0002|ποιο είναι το πρόβλημα|ΠΡΟΒΛΗΜΑ ΤΙ
police1_signer1_rep5_sentences/sentences0003|διατάραξη κοινής ησυχίας|ΩΡΑ ΓΙΑ ΗΣΥΧΙΑ ΑΚΟΥΩ ΦΑΣΑΡΙΑ
police1_signer1_rep5_sentences/sentences0004|ποιος σας ενοχλεί|ΠΟΙΟΣ ΕΝΟΧΛΩ_ΕΣΕΝΑ
police1_signer1_rep5_sentences/sentences0005|το μαγαζί κάτω από το σπίτι μου|ΣΠΙΤΙ ΕΓΩ(1) ΚΑΤΩ(1) ΜΑΓΑΖΙ
police1_signer1_rep5_sentences/sentences0006|μιλήσατε με τον ιδιοκτήτη|ΠΡΙΝ ΕΣΥ ΙΔΙΟΚΤΗΤΗΣ ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1_signer1_rep5_sentences/sentences0007|ναι μίλησα|ΝΑΙ ΠΡΙΝ ΕΓΩ(1) ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1_signer1_rep5_sentences/sentences0008|καλέσατε την αστυνομία|ΠΡΙΝ ΕΣΥ ΑΣΤΥΝΟΜΙΑ ΤΗΛΕΦΩΝΩ
police1_signer1_rep5_sentences/sentences0009|δεν έγινε τίποτα|ΑΠΟΤΕΛΕΣΜΑ ΤΙΠΟΤΑ
police1_signer1_rep5_sentences/sentences0010|θα πάτε στον εισαγγελέα στα δικαστήρια στο γραφείο 405|ΕΣΥ ΠΗΓΑΙΝΩ ΔΙΚΑΣΤΗΡΙΟ ΕΙΣΑΓΓΕΛΕΑΣ ΠΟΥ ΔΙΚΑΣΤΗΡΙΟ ΕΚΕΙ ΓΡΑΦΕΙΟ 400 5
police1_signer1_rep5_sentences/sentences0011|εντάξει|ΕΝΤΑΞΕΙ
police1_signer1_rep5_sentences/sentences0012|το γραφείο είναι ανοιχτό πρωί και μεσημέρι|ΓΡΑΦΕΙΟ ΑΝΟΙΧΤΟ ΠΡΩΙ ΣΥΝ ΜΕΣΗΜΕΡΙ
police1_signer1_rep5_sentences/sentences0013|ευχαριστώ|ΕΥΧΑΡΙΣΤΩ
police1_signer1_rep5_sentences/sentences0014|καλό απόγευμα|ΚΑΛΟ ΑΠΟΓΕΥΜΑ
police1_signer2_rep1_sentences/sentences0000|γεια σας πώς μπορώ να βοηθήσω|ΓΕΙΑ ΕΓΩ(1) ΜΠΟΡΩ ΒΟΗΘΩ
police1_signer2_rep1_sentences/sentences0001|θέλω να κάνω καταγγελία|ΕΓΩ(1) ΘΕΛΩ ΠΑΡΑΠΟΝΟ ΚΑΤΑΓΓΕΛΙΑ
police1_signer2_rep1_sentences/sentences0002|ποιο είναι το πρόβλημα|ΠΡΟΒΛΗΜΑ ΤΙ
police1_signer2_rep1_sentences/sentences0003|διατάραξη κοινής ησυχίας|ΩΡΑ ΓΙΑ ΗΣΥΧΙΑ ΑΚΟΥΩ ΦΑΣΑΡΙΑ
police1_signer2_rep1_sentences/sentences0004|ποιος σας ενοχλεί|ΠΟΙΟΣ ΕΝΟΧΛΩ_ΕΣΕΝΑ
police1_signer2_rep1_sentences/sentences0005|το μαγαζί κάτω από το σπίτι μου|ΣΠΙΤΙ ΕΓΩ(1) ΚΑΤΩ(1) ΜΑΓΑΖΙ
police1_signer2_rep1_sentences/sentences0006|μιλήσατε με τον ιδιοκτήτη|ΠΡΙΝ ΕΣΥ ΙΔΙΟΚΤΗΤΗΣ ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1_signer2_rep1_sentences/sentences0007|ναι μίλησα|ΝΑΙ ΠΡΙΝ ΕΓΩ(1) ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1_signer2_rep1_sentences/sentences0008|καλέσατε την αστυνομία|ΠΡΙΝ ΕΣΥ ΑΣΤΥΝΟΜΙΑ ΤΗΛΕΦΩΝΩ
police1_signer2_rep1_sentences/sentences0009|δεν έγινε τίποτα|ΑΠΟΤΕΛΕΣΜΑ ΤΙΠΟΤΑ
police1_signer2_rep1_sentences/sentences0010|θα πάτε στον εισαγγελέα στα δικαστήρια στο γραφείο 405|ΕΣΥ ΠΗΓΑΙΝΩ ΔΙΚΑΣΤΗΡΙΟ ΕΙΣΑΓΓΕΛΕΑΣ ΠΟΥ ΔΙΚΑΣΤΗΡΙΟ ΕΚΕΙ ΓΡΑΦΕΙΟ 400 5
police1_signer2_rep1_sentences/sentences0011|εντάξει|ΕΝΤΑΞΕΙ
police1_signer2_rep1_sentences/sentences0012|το γραφείο είναι ανοιχτό πρωί και μεσημέρι|ΓΡΑΦΕΙΟ ΑΝΟΙΧΤΟ ΠΡΩΙ ΣΥΝ ΜΕΣΗΜΕΡΙ
police1_signer2_rep1_sentences/sentences0013|ευχαριστώ|ΕΥΧΑΡΙΣΤΩ
police1_signer2_rep1_sentences/sentences0014|καλό απόγευμα|ΚΑΛΟ ΑΠΟΓΕΥΜΑ
police1_signer2_rep2_sentences/sentences0000|γεια σας πώς μπορώ να βοηθήσω|ΓΕΙΑ ΕΓΩ(1) ΜΠΟΡΩ ΒΟΗΘΩ
police1_signer2_rep2_sentences/sentences0001|θέλω να κάνω καταγγελία|ΕΓΩ(3) ΘΕΛΩ ΠΑΡΑΠΟΝΟ ΚΑΤΑΓΓΕΛΙΑ
police1_signer2_rep2_sentences/sentences0002|ποιο είναι το πρόβλημα|ΠΡΟΒΛΗΜΑ ΤΙ
police1_signer2_rep2_sentences/sentences0003|διατάραξη κοινής ησυχίας|ΩΡΑ ΓΙΑ ΗΣΥΧΙΑ ΑΚΟΥΩ ΦΑΣΑΡΙΑ
police1_signer2_rep2_sentences/sentences0004|ποιος σας ενοχλεί|ΠΟΙΟΣ ΕΝΟΧΛΩ_ΕΣΕΝΑ
police1_signer2_rep2_sentences/sentences0005|το μαγαζί κάτω από το σπίτι μου|ΣΠΙΤΙ ΕΓΩ(1) ΚΑΤΩ(1) ΜΑΓΑΖΙ
police1_signer2_rep2_sentences/sentences0006|μιλήσατε με τον ιδιοκτήτη|ΠΡΙΝ ΕΣΥ ΙΔΙΟΚΤΗΤΗΣ ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1_signer2_rep2_sentences/sentences0007|ναι μίλησα|ΝΑΙ ΠΡΙΝ ΕΓΩ(1) ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1_signer2_rep2_sentences/sentences0008|καλέσατε την αστυνομία|ΠΡΙΝ ΕΣΥ ΑΣΤΥΝΟΜΙΑ ΤΗΛΕΦΩΝΩ
police1_signer2_rep2_sentences/sentences0009|δεν έγινε τίποτα|ΑΠΟΤΕΛΕΣΜΑ ΤΙΠΟΤΑ
police1_signer2_rep2_sentences/sentences0010|θα πάτε στον εισαγγελέα στα δικαστήρια στο γραφείο 405|ΕΣΥ ΠΗΓΑΙΝΩ ΔΙΚΑΣΤΗΡΙΟ ΕΙΣΑΓΓΕΛΕΑΣ ΠΟΥ ΔΙΚΑΣΤΗΡΙΟ ΕΚΕΙ ΓΡΑΦΕΙΟ 400 5
police1_signer2_rep2_sentences/sentences0011|εντάξει|ΕΝΤΑΞΕΙ
police1_signer2_rep2_sentences/sentences0012|το γραφείο είναι ανοιχτό πρωί και μεσημέρι|ΓΡΑΦΕΙΟ ΑΝΟΙΧΤΟ ΠΡΩΙ ΣΥΝ ΜΕΣΗΜΕΡΙ
police1_signer2_rep2_sentences/sentences0013|ευχαριστώ|ΕΥΧΑΡΙΣΤΩ
police1_signer2_rep2_sentences/sentences0014|καλό απόγευμα|ΚΑΛΟ ΑΠΟΓΕΥΜΑ
police1_signer2_rep3_sentences/sentences0000|γεια σας πώς μπορώ να βοηθήσω|ΓΕΙΑ ΕΓΩ(3) ΜΠΟΡΩ ΒΟΗΘΩ
police1_signer2_rep3_sentences/sentences0001|θέλω να κάνω καταγγελία|ΕΓΩ(1) ΘΕΛΩ ΠΑΡΑΠΟΝΟ ΚΑΤΑΓΓΕΛΙΑ
police1_signer2_rep3_sentences/sentences0002|ποιο είναι το πρόβλημα|ΠΡΟΒΛΗΜΑ ΤΙ
police1_signer2_rep3_sentences/sentences0003|διατάραξη κοινής ησυχίας|ΩΡΑ ΓΙΑ ΗΣΥΧΙΑ ΑΚΟΥΩ ΦΑΣΑΡΙΑ
police1_signer2_rep3_sentences/sentences0004|ποιος σας ενοχλεί|ΠΟΙΟΣ ΕΝΟΧΛΩ_ΕΣΕΝΑ
police1_signer2_rep3_sentences/sentences0005|το μαγαζί κάτω από το σπίτι μου|ΣΠΙΤΙ ΕΓΩ(1) ΚΑΤΩ(1) ΜΑΓΑΖΙ
police1_signer2_rep3_sentences/sentences0006|μιλήσατε με τον ιδιοκτήτη|ΠΡΙΝ ΕΣΥ ΙΔΙΟΚΤΗΤΗΣ ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1_signer2_rep3_sentences/sentences0007|ναι μίλησα|ΝΑΙ ΠΡΙΝ ΕΓΩ(1) ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1_signer2_rep3_sentences/sentences0008|καλέσατε την αστυνομία|ΠΡΙΝ ΕΣΥ ΑΣΤΥΝΟΜΙΑ ΤΗΛΕΦΩΝΩ
police1_signer2_rep3_sentences/sentences0009|δεν έγινε τίποτα|ΑΠΟΤΕΛΕΣΜΑ ΤΙΠΟΤΑ
police1_signer2_rep3_sentences/sentences0010|θα πάτε στον εισαγγελέα στα δικαστήρια στο γραφείο 405|ΕΣΥ ΠΗΓΑΙΝΩ ΔΙΚΑΣΤΗΡΙΟ ΕΙΣΑΓΓΕΛΕΑΣ ΠΟΥ ΔΙΚΑΣΤΗΡΙΟ ΕΚΕΙ ΓΡΑΦΕΙΟ 400 5
police1_signer2_rep3_sentences/sentences0011|εντάξει|ΕΝΤΑΞΕΙ
police1_signer2_rep3_sentences/sentences0012|το γραφείο είναι ανοιχτό πρωί και μεσημέρι|ΓΡΑΦΕΙΟ ΑΝΟΙΧΤΟ ΠΡΩΙ ΣΥΝ ΜΕΣΗΜΕΡΙ
police1_signer2_rep3_sentences/sentences0013|ευχαριστώ|ΕΥΧΑΡΙΣΤΩ
police1_signer2_rep3_sentences/sentences0014|καλό απόγευμα|ΚΑΛΟ ΑΠΟΓΕΥΜΑ
police1_signer2_rep4_sentences/sentences0000|γεια σας πώς μπορώ να βοηθήσω|ΓΕΙΑ ΕΓΩ(1) ΜΠΟΡΩ ΒΟΗΘΩ
police1_signer2_rep4_sentences/sentences0001|θέλω να κάνω καταγγελία|ΕΓΩ(1) ΘΕΛΩ ΠΑΡΑΠΟΝΟ ΚΑΤΑΓΓΕΛΙΑ
police1_signer2_rep4_sentences/sentences0002|ποιο είναι το πρόβλημα|ΠΡΟΒΛΗΜΑ ΤΙ
police1_signer2_rep4_sentences/sentences0003|διατάραξη κοινής ησυχίας|ΩΡΑ ΓΙΑ ΗΣΥΧΙΑ ΑΚΟΥΩ ΦΑΣΑΡΙΑ
police1_signer2_rep4_sentences/sentences0004|ποιος σας ενοχλεί|ΠΟΙΟΣ ΕΝΟΧΛΩ_ΕΣΕΝΑ
police1_signer2_rep4_sentences/sentences0005|το μαγαζί κάτω από το σπίτι μου|ΣΠΙΤΙ ΕΓΩ(1) ΚΑΤΩ(1) ΜΑΓΑΖΙ
police1_signer2_rep4_sentences/sentences0006|μιλήσατε με τον ιδιοκτήτη|ΠΡΙΝ ΕΣΥ ΙΔΙΟΚΤΗΤΗΣ ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1_signer2_rep4_sentences/sentences0007|ναι μίλησα|ΝΑΙ ΠΡΙΝ ΕΓΩ(1) ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1_signer2_rep4_sentences/sentences0008|καλέσατε την αστυνομία|ΠΡΙΝ ΕΣΥ ΑΣΤΥΝΟΜΙΑ ΤΗΛΕΦΩΝΩ
police1_signer2_rep4_sentences/sentences0009|δεν έγινε τίποτα|ΑΠΟΤΕΛΕΣΜΑ ΤΙΠΟΤΑ
police1_signer2_rep4_sentences/sentences0010|θα πάτε στον εισαγγελέα στα δικαστήρια στο γραφείο 405|ΕΣΥ ΠΗΓΑΙΝΩ ΔΙΚΑΣΤΗΡΙΟ ΕΙΣΑΓΓΕΛΕΑΣ ΠΟΥ ΔΙΚΑΣΤΗΡΙΟ ΕΚΕΙ ΓΡΑΦΕΙΟ 400 5
police1_signer2_rep4_sentences/sentences0011|εντάξει|ΕΝΤΑΞΕΙ
police1_signer2_rep4_sentences/sentences0012|το γραφείο είναι ανοιχτό πρωί και μεσημέρι|ΓΡΑΦΕΙΟ ΑΝΟΙΧΤΟ ΠΡΩΙ ΣΥΝ ΜΕΣΗΜΕΡΙ
police1_signer2_rep4_sentences/sentences0013|ευχαριστώ|ΕΥΧΑΡΙΣΤΩ
police1_signer2_rep4_sentences/sentences0014|καλό απόγευμα|ΚΑΛΟ ΑΠΟΓΕΥΜΑ
police1_signer2_rep5_sentences/sentences0000|γεια σας πώς μπορώ να βοηθήσω|ΓΕΙΑ ΕΓΩ(1) ΜΠΟΡΩ ΒΟΗΘΩ
police1_signer2_rep5_sentences/sentences0001|θέλω να κάνω καταγγελία|ΕΓΩ(3) ΘΕΛΩ ΠΑΡΑΠΟΝΟ ΚΑΤΑΓΓΕΛΙΑ
police1_signer2_rep5_sentences/sentences0002|ποιο είναι το πρόβλημα|ΠΡΟΒΛΗΜΑ ΤΙ
police1_signer2_rep5_sentences/sentences0003|διατάραξη κοινής ησυχίας|ΩΡΑ ΓΙΑ ΗΣΥΧΙΑ ΑΚΟΥΩ ΦΑΣΑΡΙΑ
police1_signer2_rep5_sentences/sentences0004|ποιος σας ενοχλεί|ΠΟΙΟΣ ΕΝΟΧΛΩ_ΕΣΕΝΑ
police1_signer2_rep5_sentences/sentences0005|το μαγαζί κάτω από το σπίτι μου|ΣΠΙΤΙ ΕΓΩ(1) ΚΑΤΩ(1) ΜΑΓΑΖΙ
police1_signer2_rep5_sentences/sentences0006|μιλήσατε με τον ιδιοκτήτη|ΠΡΙΝ ΕΣΥ ΙΔΙΟΚΤΗΤΗΣ ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1_signer2_rep5_sentences/sentences0007|ναι μίλησα|ΝΑΙ ΠΡΙΝ ΕΓΩ(1) ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1_signer2_rep5_sentences/sentences0008|καλέσατε την αστυνομία|ΠΡΙΝ ΕΣΥ ΑΣΤΥΝΟΜΙΑ ΤΗΛΕΦΩΝΩ
police1_signer2_rep5_sentences/sentences0009|δεν έγινε τίποτα|ΑΠΟΤΕΛΕΣΜΑ ΤΙΠΟΤΑ
police1_signer2_rep5_sentences/sentences0010|θα πάτε στον εισαγγελέα στα δικαστήρια στο γραφείο 405|ΕΣΥ ΠΗΓΑΙΝΩ ΔΙΚΑΣΤΗΡΙΟ ΕΙΣΑΓΓΕΛΕΑΣ ΠΟΥ ΔΙΚΑΣΤΗΡΙΟ ΕΚΕΙ ΓΡΑΦΕΙΟ 400 5
police1_signer2_rep5_sentences/sentences0011|εντάξει|ΕΝΤΑΞΕΙ
police1_signer2_rep5_sentences/sentences0012|το γραφείο είναι ανοιχτό πρωί και μεσημέρι|ΓΡΑΦΕΙΟ ΑΝΟΙΧΤΟ ΠΡΩΙ ΣΥΝ ΜΕΣΗΜΕΡΙ
police1_signer2_rep5_sentences/sentences0013|ευχαριστώ|ΕΥΧΑΡΙΣΤΩ
police1_signer2_rep5_sentences/sentences0014|καλό απόγευμα|ΚΑΛΟ ΑΠΟΓΕΥΜΑ
police1_signer3_rep1_sentences/sentences0000|γεια σας πώς μπορώ να βοηθήσω|ΓΕΙΑ ΕΓΩ(1) ΜΠΟΡΩ ΒΟΗΘΩ
police1_signer3_rep1_sentences/sentences0001|θέλω να κάνω καταγγελία|ΕΓΩ(1) ΘΕΛΩ ΠΑΡΑΠΟΝΟ ΚΑΤΑΓΓΕΛΙΑ
police1_signer3_rep1_sentences/sentences0002|ποιο είναι το πρόβλημα|ΠΡΟΒΛΗΜΑ ΤΙ
police1_signer3_rep1_sentences/sentences0003|διατάραξη κοινής ησυχίας|ΩΡΑ ΓΙΑ ΗΣΥΧΙΑ ΑΚΟΥΩ ΦΑΣΑΡΙΑ
